1. A5线-澳琴午下班
13:30 澳门理工大学主校区（理工学院街）
13:44 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
14:13 横琴口岸（南二门 迎客平台）【下车】
14:21 中海名钻（北门）②
14:22 保利国际广场（朗琴道交琴政路北侧）
14:23 华发首府（4号岗）②
14:24 K2荔枝湾②
14:29 澳门新街坊南


2. A5线-澳琴早上班
09:00 澳门理工大学主校区（理工学院街）
09:14 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
09:43 横琴口岸（南二门 迎客平台）【下车】
09:50 中海名钻（北门）②
09:51 保利国际广场（琴政路北侧）
09:52 华发首府（4号岗）①
09:53 K2荔枝湾②
09:57 澳门新街坊南


3. B20线（高校线）-澳琴上班
08:50 澳门理工大学主校区（理工学院街）
09:04 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
09:33 横琴口岸（南二门 迎客平台）【下车】
09:43 中海名钻（北门）②
09:44 保利国际广场（朗琴道交琴政路北侧）
09:45 华发首府（4号岗）①
09:46 K2荔枝湾②
09:51 澳门新街坊南


4. C4线夜班-下班
21:33 澳门新濠锋酒店【上车】
21:40 澳门科技大学南门（新濠天地）①
21:41 霍英东马路/新濠天地
22:06 横琴口岸（南二门 迎客平台）【下车】
22:13 中海名钻（北门）②
22:14 保利国际广场（朗琴道交琴政路北侧）
22:15 华发首府（4号岗）①
22:18 K2荔枝湾②
22:23 澳门新街坊
22:26 上村村口公交站


5. B3线（高校线）-午班
12:20 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
12:26 澳门科技大学东门（轻轨站）
12:28 澳门科技大学-伟龙（西北门）②
12:58 横琴口岸（南二门 迎客平台）【下车】
13:03 横琴人才公寓（正门）
13:06 国际网球中心（靠石山村公交点）
13:09 粗沙环（公交点）
13:14 横琴医院


6. B17线（高校线）-澳琴晚下班
17:45 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
17:53 澳门科技大学（望德圣母湾大马路）
18:19 横琴口岸（南二门 迎客平台）【下车】
18:29 中海名钻（北门）②
18:30 保利国际广场（朗琴道交琴政路北侧）
18:31 华发首府（4号岗）①
18:32 K2荔枝湾②
18:37 澳门新街坊南


7. A3线中班-下班
12:00 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
12:06 澳门科技大学-伟龙（西北门）②
12:09 澳门科技大学南门（新濠天地）①
12:16 横琴口岸（南二门 迎客平台）【下车】
12:23 中海名钻（北门）②
12:24 保利国际广场（朗琴道交琴政路北侧）
12:25 华发首府（4号岗）①
12:26 K2荔枝湾②
12:29 澳门新街坊
12:38 环岛北路西（科创中心）②
12:39 中医药产业园（IN1下客点）


8. A3线晚班-下班
19:30 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
19:38 澳门科技大学南门（新濠天地）①
19:39 霍英东马路/新濠天地
20:04 横琴口岸（南二门 迎客平台）【下车】
20:11 中海名钻（北门）②
20:12 保利国际广场（朗琴道交琴政路北侧）
20:13 华发首府（4号岗）①
20:16 K2荔枝湾②
20:21 澳门新街坊
20:31 环岛北路西（科创中心）②
20:33 中医药产业园（IN1下客点）


9. A4线夜班-下班
21:55 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
22:03 澳门科技大学南门（新濠天地）①
22:04 霍英东马路/新濠天地
22:20 横琴口岸（南二门 迎客平台）【下车】
22:27 中海名钻（北门）②
22:28 保利国际广场（朗琴道交琴政路北侧）
22:29 华发首府（4号岗）①
22:32 K2荔枝湾②
22:37 澳门新街坊
22:47 桂风道路口（北侧西行）
22:49 中医药产业园（IN1下客点）


10. B6线（高校线）-下班
18:55 澳门新濠锋酒店【上车】
19:03 澳门科技大学南门（新濠天地）①
19:05 霍英东马路/新濠天地
19:35 横琴口岸（南二门 迎客平台）【下车】
19:37 中海名钻（北门）②
19:39 保利国际广场（朗琴道交琴政路北侧）
19:41 华发首府（4号岗）②
19:43 K2荔枝湾②
19:48 澳门新街坊


11. B12线（高校线）-夜下班
22:00 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
22:07 澳门科技大学-轻轨站
22:10 澳门科技大学-伟龙（西北门）①
22:27 横琴口岸（南二门 迎客平台）【下车】
22:34 中海名钻（北门）②
22:36 华发首府（4号岗）②
22:38 K2荔枝湾②
22:42 澳门新街坊
22:47 桂风道路口（北侧西行）
22:52 中医药产业园（IN1下客点）


12. A2线-下班线
15:40 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
15:48 澳门科技大学南门（新濠天地）②
15:50 澳门科技大学（望德圣母湾大马路）
16:20 横琴口岸（南二门 迎客平台）【下车】
16:29 中海名钻（北门）②
16:30 保利国际广场（朗琴道交琴政路北侧）
16:31 华发首府（4号岗）②
16:31 K2荔枝湾②
16:34 澳门新街坊


13. B10线（高校线）-午下班
12:10 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
12:17 澳门科技大学-轻轨站
12:20 澳门科技大学-伟龙（西北门）②
12:43 横琴口岸（南二门 迎客平台）【下车】
12:46 琴政路口②
12:47 保利国际广场（朗琴道交琴政路北侧）
12:48 华发首府（4号岗）②
12:50 K2荔枝湾②
12:55 澳门新街坊


14. D1市民中心-上班线
07:40 澳门新葡京酒店
08:00 澳门新濠锋酒店【上车】
08:05 赛马会（公交站）
08:10 莲花路停车场（莲花关桥头）
08:25 南迎客平台（南二门）【下车】
08:37 横琴市民中心（往颂琴）
08:38 市民中心（祥顺路东侧）（东1）
08:40 澳门新街坊
08:45 中葡经贸中心（往琴海西）
08:51 中医药产业园①
08:58 琴海西站总站


15. B1线（高校线）-下班
19:00 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
19:08 澳门科技大学东门（轻轨站）
19:10 澳门科技大学-伟龙（西北门）②
19:45 南迎客平台（南二门）【下车】
19:52 中海名钻（北门）②
19:54 保利国际广场（朗琴道交琴政路北侧）
19:57 华发首府（4号岗）①
19:59 K2荔枝湾②
20:03 澳门新街坊


16. B16线（高校线）-澳琴午班
13:00 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
13:11 澳门科技大学（望德圣母湾大马路）
13:36 横琴口岸（南二门 迎客平台）【下车】
13:52 中海名钻（北门）②
13:54 保利国际广场（朗琴道交琴政路北侧）
13:56 华发首府（4号岗）①
13:58 K2荔枝湾②
14:00 澳门新街坊南


17. B16线（高校线）-澳琴晚班
22:15 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
22:26 澳门科技大学（望德圣母湾大马路）
22:51 横琴口岸（南二门 迎客平台）【下车】
23:08 中海名钻（北门）②
23:10 保利国际广场（朗琴道交琴政路北侧）
23:12 华发首府（4号岗）②
23:14 K2荔枝湾②
23:17 澳门新街坊南


18. B15线（高校线）-澳琴下班
18:00 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
18:11 澳门科技大学（望德圣母湾大马路）
18:36 横琴口岸（南二门 迎客平台）【下车】
18:48 中海名钻（北门）②
18:52 保利国际广场（朗琴道交琴政路北侧）
18:54 华发首府（4号岗）①
18:56 K2荔枝湾②
19:00 澳门新街坊南


19. B17线（高校线）-澳琴午下班
13:15 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
13:26 澳门科技大学（望德圣母湾大马路）
13:52 横琴口岸（南二门 迎客平台）【下车】
14:02 中海名钻（北门）②
14:03 保利国际广场（朗琴道交琴政路北侧）
14:04 华发首府（4号岗）②
14:05 K2荔枝湾②
14:13 澳门新街坊南


20. B15线（高校线）-澳琴上班
08:00 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
08:11 澳门科技大学（望德圣母湾大马路）
08:36 横琴口岸（南二门 迎客平台）【下车】
08:52 中海名钻（北门）②
08:54 保利国际广场（朗琴道交琴政路北侧）
08:56 华发首府（4号岗）①
08:58 K2荔枝湾②
09:02 澳门新街坊南


21. D6澳琴东线午班-上班
13:00 观音古庙门口（澳旅大望厦校区）
13:01 观音堂（来来商场对面）
13:03 二龙喉公园
13:11 巴波沙大马路
13:15 关闸广场（旅游巴出口停靠位）
13:30 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
13:39 科大/机场货运站
13:41 射击路/上葡京
13:43 莲花路停车场（莲花关桥头）
14:03 横琴口岸（南二门 迎客平台）【下车】
14:08 中央汇（创业谷）（临时停靠点）
14:10 依依桥北②
14:12 天星里①
14:13 伯牙小学临时停靠点①
14:14 市民中心（祥顺路东侧）（东2）
14:16 澳门新街坊
14:18 澳门新街坊南
14:21 中医药产业园（IN1下客点）


22. B11线（高校线）-夜下班
21:50 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
22:00 澳门科技大学-轻轨站
22:01 澳门科技大学-伟龙（西北门）①
22:13 澳大/研究生宿舍①
22:14 澳大/中央教学楼②
22:30 横琴口岸（南二门 迎客平台）【下车】
22:37 中海名钻（北门）②
22:39 华发首府（4号岗）②
22:41 K2荔枝湾②
22:44 澳门新街坊
22:46 澳门新街坊南
22:48 金汇国际广场①
22:55 桂风道路口（北侧西行）
23:00 中医药产业园（IN1下客点）


23. B9线（高校线）-下班
18:30 新濠锋正门（澳城大/澳理大/澳旅大）【上车】
18:40 澳门科技大学东门（轻轨站）
18:42 澳门科技大学南门（新濠天地）②
19:00 澳大/行政楼
19:02 澳大/研究生宿舍①
19:04 澳大/中央教学楼①
19:34 横琴口岸（南二门 迎客平台）【下车】
19:37 琴政路口②
19:39 中海名钻（北门）②
19:41 保利国际广场（朗琴道交琴政路北侧）
19:43 华发首府（4号岗）②
19:45 K2荔枝湾②
19:48 上村
