1. B9线（高校线）-上班
07:54 澳门新街坊
07:55 上村
07:56 横琴市民中心（往口岸）
07:57 下村②
07:59 保利国际广场（朗琴道交琴政路北侧）
08:00 中海名钻（北门）①
08:30 澳门口岸区H2（7/8/9卡位）【上车】
08:40 澳大/研究生宿舍①
08:43 澳大/中央教学楼①
08:47 澳大/行政楼
08:59 澳门科技大学南门（新濠天地）①
09:01 澳门科技大学东门（轻轨站）
09:11 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


2. A4线下午-上班
17:38 中医药产业园内
17:39 环岛北路西（科创中心）②
17:44 桂风道路口（南侧东行）
17:50 市民中心（祥顺路西侧）（西1）
17:52 澳门新街坊
17:54 金汇国际广场①
17:56 澳门新街坊南（往口岸）
18:02 K2荔枝湾（伯牙幼儿园旁）
18:03 华发首府（4号岗）②
18:05 保利国际广场（琴政路南侧）
18:06 中海名钻（北门）①
18:26 澳门口岸区H2（7/8/9卡位）【上车】
18:34 澳大/研究生宿舍①
18:36 澳大/中央教学楼①
18:45 澳门威尼斯人
18:51 澳门科技大学东门（轻轨站）
18:58 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


3. B7线（高校线）-上班
07:40 横琴人才公寓（西门）①
07:43 国际网球中心（靠石山村公交点）
07:45 濠江路口（靠澳大公交点）①
08:15 澳门口岸区H2（7/8/9卡位）【上车】
08:25 澳门科技大学南门（新濠天地）①
08:35 澳门科技大学（望德圣母湾大马路）
08:45 澳门新濠锋酒店【下车】


4. B6线（高校线）-上班
07:40 澳门新街坊
07:42 金汇国际广场①
07:43 澳门新街坊南（往口岸）
07:46 K2荔枝湾（伯牙幼儿园旁）
07:47 华发首府（4号岗）①
07:49 保利国际广场（朗琴道交琴政路北侧）
07:50 中海名钻（北门）①
08:19 澳门口岸区H2（7/8/9卡位）【上车】
08:25 澳大/研究生宿舍①
08:27 澳大/中央教学楼②
08:39 澳门科技大学南门（新濠天地）①
08:41 霍英东马路/新濠天地
08:46 澳门新濠锋酒店【下车】


5. B17线（高校线）-琴澳午上班
13:00 澳门新街坊南（往口岸）
13:02 K2荔枝湾（伯牙幼儿园旁）
13:03 华发首府（4号岗）②
13:04 保利国际广场（琴政路北侧）
13:05 中海名钻（北门）①
13:31 澳门口岸区H2（7/8/9卡位）【上车】
13:49 澳门科技大学（望德圣母湾大马路）
14:00 新濠锋正门（澳城大/澳理大/澳旅大）【下车】


6. B17线（高校线）-琴澳晚上班
